HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Length,intermittent_count,perennial_count,water_count,perennial_ratio,connected_perennial,segment_status,segment_label
40156548,40156406,40017702,1.85,1690.7,1632.5,6.12,444120.7,0,1616.221,8,2,3,4121227540.0,0.022559223176550694,24,22,46,0.4782608695652174,True,2.0,Perennial_connected
40156544,40156674,40017702,3.14,1720.4,1602.7,17.61,443042.3,0,1607.277,8,2,3,4120238000.0,0.03922588984324239,55,15,70,0.21428571428571427,True,2.0,Perennial_connected
40157473,40157710,40017702,8.63,1625.2,1697.9,45.08,458704.7,0,1705.022,8,2,3,4121228100.0,0.0873773447853733,92,37,129,0.2868217054263566,True,2.0,Perennial_connected
40156401,40156540,40017702,1.61,1728.9,1594.2,6.12,440114.0,0,1590.901,8,2,3,4120238240.0,0.0208333333332007,58,15,73,0.2054794520547945,True,2.0,Perennial_connected
40156400,40156401,40017702,1.21,1730.5,1592.6,1.94,440091.7,0,1590.772,8,2,3,4120238240.0,0.014225889843335475,55,12,67,0.1791044776119403,True,2.0,Perennial_connected
40156275,40156675,40017702,0.64,1669.0,1654.1,0.75,445116.1,0,1624.586,8,2,3,4120238510.0,0.008333333333382598,36,18,54,0.3333333333333333,True,2.0,Perennial_connected
40156405,40156273,40017702,2.42,1711.0,1612.2,4.93,443197.1,0,1608.36,8,2,3,4120238000.0,0.028451779686463376,50,18,68,0.2647058823529412,True,2.0,Perennial_connected
40156272,40156400,40017702,0.89,1731.7,1591.4,1.49,439829.5,0,1589.279,8,2,3,4120238080.0,0.010059223176431726,58,11,69,0.15942028985507245,True,2.0,Perennial_connected
40156678,40155725,40017702,5.56,1645.2,1678.0,33.14,445775.7,0,1629.225,8,2,3,4120237760.0,0.06208122890254209,74,25,99,0.25252525252525254,True,2.0,Perennial_connected
40156273,40157078,40017702,2.82,1708.2,1615.0,15.52,443643.9,0,1611.235,8,2,3,4120239020.0,0.035059223176499135,43,17,60,0.2833333333333333,True,2.0,Perennial_connected
40156274,40156275,40017702,1.77,1669.8,1653.3,4.33,445085.8,0,1624.311,8,2,3,4120238510.0,0.02011844635305753,44,19,63,0.30158730158730157,True,2.0,Perennial_connected
40156406,40155867,40017702,2.58,1688.3,1634.9,12.24,444163.5,0,1616.717,8,2,3,4120236910.0,0.027736892706243268,28,24,52,0.46153846153846156,True,2.0,Perennial_connected
40156278,40155871,40017702,1.69,1597.7,1725.4,5.22,459563.0,0,1711.348,8,2,3,4120237100.0,0.017677669529627512,38,19,57,0.3333333333333333,True,2.0,Perennial_connected
40156138,40156272,40017702,2.1,1732.8,1590.4,6.27,439788.8,0,1589.049,8,2,3,4120238080.0,0.024285113019813995,69,13,82,0.15853658536585366,True,2.0,Perennial_connected
40156539,40155462,40017702,5.06,1768.3,1554.8,10.9,438524.1,0,1582.181,8,2,3,4120237400.0,0.05374789556918304,56,20,76,0.2631578947368421,True,2.0,Perennial_connected
40155993,40156274,40017702,0.56,1671.6,1651.6,0.45,445070.4,0,1624.017,8,2,3,4120238510.0,0.005892556509942829,41,16,57,0.2807017543859649,True,2.0,Perennial_connected
40155865,40156138,40017702,2.25,1734.7,1588.5,10.45,439768.5,0,1588.933,8,2,3,4120238080.0,0.029166666666696983,71,15,86,0.1744186046511628,True,2.0,Perennial_connected
40156537,40156672,40017702,10.46,1781.7,1541.5,44.92,438329.1,0,1581.165,8,2,3,4120238220.0,0.11065145494206372,104,28,132,0.21212121212121213,True,2.0,Perennial_connected
40155867,40155723,40017702,0.56,1687.7,1635.4,0.45,444175.6,0,1616.836,8,2,3,4120236910.0,0.0058925565098825365,27,19,46,0.41304347826086957,True,2.0,Perennial_connected
40155864,40155865,40017702,1.77,1736.9,1586.2,6.27,439708.2,0,1588.59,8,2,3,4120238080.0,0.020118446353107475,68,12,80,0.15,True,2.0,Perennial_connected
40155868,40155993,40017702,2.34,1671.9,1651.2,6.42,445014.4,0,1623.652,8,2,3,4120238510.0,0.026011002863029913,49,18,67,0.26865671641791045,True,2.0,Perennial_connected
40155725,40155583,40017702,0.89,1644.1,1679.0,1.04,447688.5,0,1639.662,8,2,3,4120237430.0,0.010059223176528765,46,17,63,0.2698412698412698,True,2.0,Perennial_connected
