HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12,Shape_Length,intermittent_count,perennial_count,water_count,perennial_ratio,connected_perennial,segment_status,segment_label
41375391,41375452,41375054,1.76,21.5,115.6,2.73,1521.2,0,69.994,4,1,5,4121146160.0,0.015951779686460534,5,14,19,0.7368421052631579,True,2.0,Perennial_connected
41375218,41375391,41375054,1.56,23.2,113.8,4.21,1514.4,0,69.538,4,1,5,4121146160.0,0.014225889843248485,7,9,16,0.5625,True,2.0,Perennial_connected
41375169,41375218,41375054,2.22,25.0,112.1,3.16,1506.6,0,69.027,4,1,5,4121146160.0,0.02011844635319375,8,9,17,0.5294117647058824,True,2.0,Perennial_connected
41374932,41375169,41375054,1.57,27.0,110.0,3.37,1496.1,0,68.34,4,1,5,4121146160.0,0.014225889843276907,8,6,14,0.42857142857142855,True,2.0,Perennial_connected
41374769,41374932,41375054,3.97,28.8,108.2,6.1,1319.4,0,56.006,4,1,5,4121145490.0,0.036070226039631746,10,5,15,0.3333333333333333,True,2.0,Perennial_connected
41374718,41374717,41375054,1.3,38.0,99.0,2.52,1274.9,0,53.135,4,1,5,4121145490.0,0.011785113019795219,5,0,5,0.0,False,1.0,Intermittent_ratio
41375976,41375922,41375054,1.1,14.6,122.4,2.1,1891.0,0,93.946,5,1,5,4121145810.0,0.010059223176575559,3,18,21,0.8571428571428571,True,2.0,Perennial_connected
41375977,41375976,41375054,2.03,15.7,121.3,3.79,1583.4,0,74.096,4,1,5,4121146160.0,0.018392556509773415,3,17,20,0.85,True,2.0,Perennial_connected
41375922,41375810,41375054,2.21,12.6,124.4,5.47,1899.4,0,94.514,5,1,5,4121145810.0,0.02011844635315427,3,21,24,0.875,True,2.0,Perennial_connected
41375810,41375771,41375054,0.65,12.0,125.1,1.05,1905.5,0,94.939,5,1,5,4121145810.0,0.005892556509872488,1,22,23,0.9565217391304348,True,2.0,Perennial_connected
41375812,41375977,41375054,0.93,17.8,119.3,1.26,1575.9,0,73.596,4,1,5,4121146160.0,0.008333333333311543,2,19,21,0.9047619047619048,True,2.0,Perennial_connected
