run,source_kind,source_path,param_water_ratio_threshold,param_use_connectivity,param_min_connected_water_cells,param_perennial_month_threshold,param_perennial_ratio_threshold,total_cells,valid_cells,nodata_cells,non_water_cells,water_cells,intermittent_cells,perennial_cells,water_ratio_valid,intermittent_ratio_water,perennial_ratio_water,perennial_ratio_valid
water_ratio_0.30_min_conn_20_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.30_min_conn_20_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.30_min_conn_20_perennial_10_perennial_ratio_0.50.tif,0.30,true,20,10,0.50,51433646,39054132,12379514,35335894,3718238,1081747,2636491,0.09520728818144006,0.2909300050185061,0.7090699949814939,0.06750863135301535
water_ratio_0.30_min_conn_na_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.30_min_conn_na_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.30_min_conn_na_perennial_10_perennial_ratio_0.50.tif,0.30,false,na,10,0.50,51433646,39054132,12379514,36336322,2717810,408394,2309416,0.06959084380623284,0.1502658390395208,0.8497341609604792,0.059133717272221026
water_ratio_0.40_min_conn_20_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.40_min_conn_20_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.40_min_conn_20_perennial_10_perennial_ratio_0.50.tif,0.40,true,20,10,0.50,51433646,39054132,12379514,35343338,3710794,1076142,2634652,0.09501668094940632,0.2900031637433929,0.709996836256607,0.06746154286568191
water_ratio_0.40_min_conn_30_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.40_min_conn_30_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.40_min_conn_30_perennial_10_perennial_ratio_0.50.tif,0.40,true,30,10,0.50,51433646,39054132,12379514,35433822,3620310,1001504,2618806,0.09269979422407852,0.2766348738091489,0.723365126190851,0.06705579834676648
water_ratio_0.40_min_conn_40_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.40_min_conn_40_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.40_min_conn_40_perennial_10_perennial_ratio_0.50.tif,0.40,true,40,10,0.50,51433646,39054132,12379514,35508666,3545466,941901,2603565,0.09078337728770927,0.2656635263178381,0.7343364736821619,0.06666554514641371
water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50.tif,0.40,true,50,10,0.50,51433646,39054132,12379514,35575398,3478734,889496,2589238,0.08907467204750576,0.255695319044227,0.744304680955773,0.06629869535955889
water_ratio_0.40_min_conn_na_perennial_10_perennial_ratio_0.50,mosaic,D:\OneDrive\UTokyo\Research\Workspace\Output\ChinaFlowStatusMosaic\water_ratio_0.40_min_conn_na_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.40_min_conn_na_perennial_10_perennial_ratio_0.50.tif,0.40,false,na,10,0.50,51433646,39054132,12379514,36496569,2557563,315486,2242077,0.06548764161497687,0.12335414611487576,0.8766458538851243,0.0574094695024844
