vary_parameter,fixed_water_ratio_threshold,fixed_use_connectivity,fixed_perennial_month_threshold,fixed_perennial_ratio_threshold,base_run,other_run,base_value,other_value,base_param_water_ratio_threshold,base_param_use_connectivity,base_param_min_connected_water_cells,base_param_perennial_month_threshold,base_param_perennial_ratio_threshold,other_param_water_ratio_threshold,other_param_use_connectivity,other_param_min_connected_water_cells,other_param_perennial_month_threshold,other_param_perennial_ratio_threshold,compared_valid_cells,changed_cells,changed_ratio_valid,base_water_cells,other_water_cells,water_delta_cells,water_delta_pct_of_base,added_water_cells,lost_water_cells,common_water_cells,base_perennial_cells,other_perennial_cells,perennial_delta_cells,perennial_delta_pct_of_base,intermittent_to_perennial_cells,perennial_to_intermittent_cells,non_water_to_non_water,non_water_to_intermittent,non_water_to_perennial,intermittent_to_non_water,intermittent_to_intermittent,intermittent_to_perennial,perennial_to_non_water,perennial_to_intermittent,perennial_to_perennial,common_tile_count
min_connected_water_cells,0.40,true,10,0.50,water_ratio_0.40_min_conn_20_perennial_10_perennial_ratio_0.50,water_ratio_0.40_min_conn_30_perennial_10_perennial_ratio_0.50,20,30,0.40,true,20,10,0.50,0.40,true,30,10,0.50,39054132,90484,0.0023168867253278093,3710794,3620310,-90484,-0.024383999758542243,0,90484,3620310,2634652,2618806,-15846,-0.006014456558209585,0,0,35343338,0,0,74638,1001504,0,15846,0,2618806,
min_connected_water_cells,0.40,true,10,0.50,water_ratio_0.40_min_conn_30_perennial_10_perennial_ratio_0.50,water_ratio_0.40_min_conn_40_perennial_10_perennial_ratio_0.50,30,40,0.40,true,30,10,0.50,0.40,true,40,10,0.50,39054132,74844,0.0019164169363692426,3620310,3545466,-74844,-0.020673367750275527,0,74844,3545466,2618806,2603565,-15241,-0.005819827814660575,0,0,35433822,0,0,59603,941901,0,15241,0,2603565,
min_connected_water_cells,0.40,true,10,0.50,water_ratio_0.40_min_conn_40_perennial_10_perennial_ratio_0.50,water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50,40,50,0.40,true,40,10,0.50,0.40,true,50,10,0.50,39054132,66732,0.0017087052402035205,3545466,3478734,-66732,-0.01882178534500119,0,66732,3478734,2603565,2589238,-14327,-0.0055028393760094335,0,0,35508666,0,0,52405,889496,0,14327,0,2589238,
