catchment_id,downstream_id,basin_id,longitude,latitude,river_width,river_depth,river_length,catchment_area,upstream_area,is_river_mouth,segment_sample_cells,segment_water_cells,segment_perennial_cells,segment_water_ratio,segment_dominant_component_id,segment_component_ids,downstream_in_raster,flow_status_row,flow_status_col,point_flow_status,point_component_id,nearest_water_row,nearest_water_col,nearest_water_lon,nearest_water_lat,nearest_water_component_id,nearest_water_status,nearest_water_distance_km,match_confidence
4935906,4934106,45635,94.2004165649414,59.3345832824707,68.82958,0.0,10046.758,69796520.0,10608908288.0,0,96,25,21,0.2604166666666667,20,20,True,80,2933,2,20,80,2933,94.201375,59.335875,20,2,0.15357303416203363,high
5018799,5020599,45635,98.81541442871094,50.00041580200195,43.38383,0.0,15065.159,110403088.0,11532096512.0,0,62,13,10,0.20967741935483872,26291,26291,True,1212,3492,2,26291,1212,3492,98.813125,49.996875,26291,2,0.42637268447012566,high
5027785,5025985,45635,99.3004150390625,51.407081604003906,62.50894,0.0,3223.9634,93386912.0,11459149824.0,0,97,28,28,0.28865979381443296,22638,22638,True,1041,3551,2,22638,1041,3551,99.299875,51.407624999999996,22638,2,0.0710916126122636,high
5040371,5042171,45635,100.12291717529297,52.85708236694336,99.00571,0.0,10004.7,63991080.0,11967415296.0,0,54,15,15,0.2777777777777778,20,20,True,865,3651,2,20,865,3651,100.124875,52.859625,20,2,0.3117900415606665,high
5069195,5070995,45635,101.742919921875,50.466251373291016,73.070786,0.0,8297.834,43932248.0,11154555904.0,0,64,18,8,0.28125,20,20,True,1155,3847,1,20,1155,3847,101.741875,50.467124999999996,20,1,0.12209246068949577,high
5107020,5108821,45635,103.85874938964844,47.873748779296875,11.25,0.0,5933.1436,90429928.0,10240490496.0,0,62,0,0,0.0,0,,True,1469,4104,0,0,1462,4129,104.068375,47.934375,32075,2,17.018120469190233,low
4513129,4511329,45635,70.7004165649414,37.056251525878906,38.24966,0.0,9799.474,132680264.0,12747452416.0,0,101,16,7,0.15841584158415842,52480,52080;52437;52479;52480,True,2781,84,0,0,2781,83,70.688875,37.052625,52437,2,1.1007322702041098,medium
4529292,4527491,45635,71.6120834350586,40.81624984741211,41.411175,0.0,12250.393,128276520.0,11626339328.0,0,123,32,11,0.2601626016260163,45498,44350;45498;45499,True,2325,195,1,45498,2325,195,71.612875,40.814625,45498,1,0.19256392791833699,high
4545378,4547178,45635,72.5995864868164,52.132083892822266,96.836235,0.0,3940.5144,85397832.0,12855959552.0,0,94,55,44,0.5851063829787234,20920,20920,True,953,315,2,20920,953,315,72.602875,52.133625,20920,2,0.28239487247399186,high
4554492,4550891,45635,72.92958068847656,40.825416564941406,35.16329,0.0,21744.42,76783528.0,12372339712.0,0,121,13,0,0.10743801652892562,45501,45479;45501,True,2324,355,1,45501,2324,355,72.932875,40.822874999999996,45501,1,0.39586001459302933,medium
