catchment_id,downstream_id,basin_id,src_lon,src_lat,dst_lon,dst_lat,src_upstream_area_km2,dst_upstream_area_km2,src_nearest_water_distance_km,dst_nearest_water_distance_km,src_point_flow_status,dst_point_flow_status,src_nearest_component_id,dst_nearest_component_id,segment_water_ratio,segment_water_cells,segment_perennial_cells,segment_dominant_component_id,same_nearest_component,src_or_dst_component_on_segment,edge_quality,binary_edge_quality
5033173,5034972,45635,99.70375061035156,52.72124862670898,99.80374908447266,52.78874969482422,10782.081024,11590.34368,0.2098584888962447,0.3775891036276983,2,2,20,20,0.2564102564102564,30,30,20,True,True,good,good
4543581,4545381,45635,72.55958557128906,51.88291549682617,72.5879135131836,51.89958190917969,10011.872256,12191.03744,0.3833501673720343,0.3544588336698668,1,1,21574,21574,0.2083333333333333,10,0,21574,True,True,good,good
5034972,5036772,45635,99.80374908447266,52.78874969482422,99.89958190917967,52.79708480834961,11590.34368,11695.845376,0.3775891036276983,0.4209999082040199,2,1,20,20,0.2921348314606741,26,23,20,True,True,good,good
4545381,4547180,45635,72.5879135131836,51.89958190917969,72.6754150390625,52.01708221435547,12191.03744,12393.791488,0.3544588336698668,0.1647349670611573,1,2,21574,20920,0.2230215827338129,31,5,20920,False,True,good,bad
5036772,5038571,45635,99.89958190917967,52.79708480834961,100.02874755859376,52.81791687011719,11695.845376,11903.424512,0.4209999082040199,0.1996456231588533,1,2,20,20,0.25,28,25,20,True,True,good,good
5067394,5069194,45635,101.5995864868164,50.520416259765625,101.67708587646484,50.491249084472656,11067.41248,11110.623232,0.6087536368918215,0.110369671695829,0,2,20,20,0.2560975609756097,21,8,20,True,True,good,good
4532892,4531092,45635,71.8004150390625,40.7470817565918,71.7004165649414,40.77708435058594,11240.8832,11373.4912,4.803477807805171,1.809741796572974,0,0,45704,45610,0.0515463917525773,5,0,45704,False,True,uncertain,bad
4547180,4547179,45635,72.6754150390625,52.01708221435547,72.59541320800781,52.10791778564453,12393.791488,12575.766528,0.1647349670611573,0.1192748377287433,2,2,20920,20920,0.4333333333333333,52,38,20920,True,True,good,good
4696603,4696602,45635,80.94541931152344,49.72541809082031,80.9004135131836,49.75541687011719,10084.722688,10185.904128,0.1562464814687966,0.2830917636563472,1,1,27903,27837,0.1212121212121212,8,0,27903,False,True,uncertain,bad
5018798,5018799,45635,98.8420867919922,50.09624862670898,98.81541442871094,50.00041580200195,11387.936768,11532.096512,0.2910336734386148,0.4263726844701256,1,2,26291,26291,0.297029702970297,30,19,26291,True,True,good,good
5027786,5027785,45635,99.33541870117188,51.39958190917969,99.3004150390625,51.40708160400391,10819.43552,11459.149824,0.1779580333568518,0.0710916126122636,2,2,22638,22638,0.4489795918367347,22,22,22638,True,True,good,good
5038571,5040371,45635,100.02874755859376,52.81791687011719,100.12291717529295,52.85708236694336,11903.424512,11967.415296,0.1996456231588533,0.3117900415606665,2,2,20,20,0.3619047619047619,38,34,20,True,True,good,good
5069194,5069195,45635,101.67708587646484,50.491249084472656,101.742919921875,50.466251373291016,11110.623232,11154.555904,0.110369671695829,0.1220924606894957,2,1,20,20,0.2207792207792207,17,6,20,True,True,good,good
4514930,4513129,45635,70.77708435058594,37.0504150390625,70.7004165649414,37.056251525878906,12330.473472,12747.452416,0.3335000168853418,1.1007322702041098,2,0,52456,52437,0.16,12,6,52456,False,True,uncertain,bad
4531092,4529292,45635,71.7004165649414,40.77708435058594,71.6120834350586,40.81624984741211,11373.4912,11626.339328,1.809741796572974,0.1925639279183369,0,1,45610,45498,0.12,12,1,45498,False,True,uncertain,bad
4547179,4545378,45635,72.59541320800781,52.10791778564453,72.5995864868164,52.132083892822266,12575.766528,12855.959552,0.1192748377287433,0.2823948724739918,2,2,20920,20920,0.5,22,16,20920,True,True,good,good
4556292,4554492,45635,73.10041809082031,40.77124786376953,72.92958068847656,40.825416564941406,12295.556096,12372.339712,0.3190705540516628,0.3958600145930293,2,1,45531,45501,0.2483221476510067,37,20,45531,False,True,good,bad
4657001,4658801,45635,78.82041931152344,49.89041519165039,78.89958190917969,49.8970832824707,11664.5632,11733.384192,4.878188706753044,4.695724265866949,0,0,27552,27306,0.0,0,0,0,False,False,poor,bad
4696602,4694802,45635,80.9004135131836,49.75541687011719,80.81124877929688,49.82374954223633,10185.904128,10272.47104,0.2830917636563472,0.0303343953318635,1,1,27837,27530,0.1964285714285714,22,0,27685,False,True,uncertain,bad
4781197,4782997,45635,85.70291900634766,50.23625183105469,85.7995834350586,50.22541809082031,10511.58528,10739.075072,0.069440413222776,0.359810832827345,1,1,11,11,0.3707865168539326,33,1,11,True,True,good,good
