catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,is_river_mouth,flow_status_row,flow_status_col,point_flow_status,nearest_water_distance_km,match_class
4674983,4674983,45635,79.74708557128906,51.68791580200195,10239.145984,1,1007,1181,2,0.030646035447365005,on perennial
5033173,5034972,45635,99.70375061035156,52.721248626708984,10782.081024,0,882,3600,2,0.20985848889624475,on perennial
4543581,4545381,45635,72.55958557128906,51.88291549682617,10011.872256,0,983,310,1,0.3833501673720343,on intermittent
5034972,5036772,45635,99.80374908447266,52.78874969482422,11590.34368,0,874,3612,2,0.3775891036276983,on perennial
4545381,4547180,45635,72.5879135131836,51.89958190917969,12191.03744,0,981,313,1,0.35445883366986686,on intermittent
5036772,5038571,45635,99.89958190917969,52.79708480834961,11695.845376,0,873,3624,1,0.4209999082040199,on intermittent
5067394,5069194,45635,101.5995864868164,50.520416259765625,11067.41248,0,1149,3830,0,0.6087536368918215,near water
4532892,4531092,45635,71.8004150390625,40.7470817565918,11240.8832,0,2333,218,0,4.803477807805171,near water
4547180,4547179,45635,72.6754150390625,52.01708221435547,12393.791488,0,967,324,2,0.16473496706115734,on perennial
4696603,4696602,45635,80.94541931152344,49.72541809082031,10084.722688,0,1245,1326,1,0.15624648146879666,on intermittent
5018798,5018799,45635,98.84208679199219,50.096248626708984,11387.936768,0,1200,3496,1,0.29103367343861486,on intermittent
5027786,5027785,45635,99.33541870117188,51.39958190917969,10819.43552,0,1042,3555,2,0.17795803335685184,on perennial
5038571,5040371,45635,100.02874755859375,52.81791687011719,11903.424512,0,870,3639,2,0.1996456231588533,on perennial
5069194,5069195,45635,101.67708587646484,50.491249084472656,11110.623232,0,1152,3839,2,0.11036967169582908,on perennial
4514930,4513129,45635,70.77708435058594,37.0504150390625,12330.473472,0,2781,94,2,0.33350001688534187,on perennial
4531092,4529292,45635,71.7004165649414,40.77708435058594,11373.4912,0,2330,206,0,1.809741796572974,near water
4547179,4545378,45635,72.59541320800781,52.10791778564453,12575.766528,0,956,314,2,0.11927483772874332,on perennial
4556292,4554492,45635,73.10041809082031,40.77124786376953,12295.556096,0,2330,375,2,0.31907055405166285,on perennial
4657001,4658801,45635,78.82041931152344,49.89041519165039,11664.5632,0,1225,1069,0,4.878188706753044,near water
4696602,4694802,45635,80.9004135131836,49.75541687011719,10185.904128,0,1241,1321,1,0.2830917636563472,on intermittent
4781197,4782997,45635,85.70291900634766,50.23625183105469,10511.58528,0,1183,1903,1,0.06944041322277601,on intermittent
4935906,4934106,45635,94.2004165649414,59.3345832824707,10608.908288,0,80,2933,2,0.15357303416203363,on perennial
5018799,5020599,45635,98.81541442871094,50.00041580200195,11532.096512,0,1212,3492,2,0.42637268447012566,on perennial
5027785,5025985,45635,99.3004150390625,51.407081604003906,11459.149824,0,1041,3551,2,0.0710916126122636,on perennial
5040371,5042171,45635,100.12291717529297,52.85708236694336,11967.415296,0,865,3651,2,0.3117900415606665,on perennial
5069195,5070995,45635,101.742919921875,50.466251373291016,11154.555904,0,1155,3847,1,0.12209246068949577,on intermittent
5107020,5108821,45635,103.85874938964844,47.873748779296875,10240.490496,0,1469,4104,0,17.018120469190233,far from water
4513129,4511329,45635,70.7004165649414,37.056251525878906,12747.452416,0,2781,84,0,1.1007322702041098,near water
4529292,4527491,45635,71.6120834350586,40.81624984741211,11626.339328,0,2325,195,1,0.19256392791833699,on intermittent
4545378,4547178,45635,72.5995864868164,52.132083892822266,12855.959552,0,953,315,2,0.28239487247399186,on perennial
4554492,4550891,45635,72.92958068847656,40.825416564941406,12372.339712,0,2324,355,1,0.39586001459302933,on intermittent
4658801,4660600,45635,78.89958190917969,49.8970832824707,11733.384192,0,1224,1078,0,4.695724265866949,near water
4694802,4694801,45635,80.81124877929688,49.82374954223633,10272.47104,0,1233,1310,1,0.03033439533186352,on intermittent
4782997,4784797,45635,85.7995834350586,50.22541809082031,10739.075072,0,1184,1915,1,0.35981083282734505,on intermittent
4934106,4932306,45635,94.10791778564453,59.30458450317383,11698.291712,0,84,2922,2,0.24443497343038015,on perennial
5020599,5018800,45635,98.85041809082031,49.969581604003906,11589.059584,0,1215,3497,0,0.4174363010881655,near water
5025985,5024185,45635,99.2004165649414,51.43541717529297,11569.943552,0,1038,3539,2,0.3397643876676262,on perennial
5042171,5040370,45635,100.11958312988281,52.89958190917969,12555.385856,0,860,3650,2,0.24503364114428663,on perennial
5070995,5072795,45635,101.7995834350586,50.4595832824707,12825.3696,0,1156,3854,0,0.586386548777706,near water
5108821,5110620,45635,103.89958190917969,47.89875030517578,10442.011648,0,1466,4109,0,13.188162675374526,far from water
4511329,4509529,45635,70.60208129882812,37.088748931884766,12980.7104,0,2777,72,2,0.4937784601685598,on perennial
4547178,4548978,45635,72.71375274658203,52.14458465576172,12920.152064,0,952,328,2,0.38995550359032105,on perennial
4550891,4549091,45635,72.8004150390625,40.85541534423828,14975.520768,0,2320,339,0,4.494051250639003,near water
4694801,4693001,45635,80.79042053222656,49.847084045410156,10373.139456,0,1230,1307,1,0.2919465132585366,on intermittent
4784797,4786597,45635,85.91874694824219,50.194583892822266,11420.194816,0,1188,1929,1,0.0418190562024338,on intermittent
4874787,4876587,45635,90.89958190917969,51.26625061035156,13705.521152,0,1058,2533,2,0.17662080404110536,on perennial
4856749,4858548,45635,89.91374969482422,55.10124969482422,10128.219136,0,593,2413,1,0.30427327817890804,on intermittent
4932306,4930506,45635,93.99874877929688,59.3095817565918,11825.108992,0,83,2908,2,0.2678478765499535,on perennial
5018800,5018801,45635,98.83541870117188,49.90041732788086,11737.903104,0,1224,3495,2,0.3329684697640336,on perennial
5008012,5009812,45635,98.31791687011719,48.743751525878906,11023.253504,0,1364,3432,1,0.09865294839302538,on intermittent
5024185,5022385,45635,99.0995864868164,51.43375015258789,11704.323072,0,1038,3527,2,0.22033992113476153,on perennial
5040370,5042170,45635,100.1370849609375,52.94041442871094,12722.139136,0,855,3652,2,0.326485503666049,on perennial
5076422,5078222,45635,102.0995864868164,47.74958419799805,11112.054784,0,1484,3890,1,0.4276905890673195,on intermittent
5072795,5074595,45635,101.89958190917969,50.438751220703125,13107.679232,0,1158,3866,2,0.40860503590527925,on perennial
5110620,5112420,45635,104.0112533569336,47.952083587646484,10850.422784,0,1460,4122,0,4.688318188194587,near water
5204201,5202401,45635,109.08457946777344,49.88541793823242,12514.832384,0,1226,4737,0,0.7543392189931343,near water
4509529,4507728,45635,70.52958679199219,37.096248626708984,13188.996096,0,2776,64,2,0.34690317965873363,on perennial
4548978,4550778,45635,72.80958557128906,52.16875076293945,12986.652672,0,949,340,0,0.5814658711766506,near water
4559712,4557912,45635,73.3004150390625,58.782081604003906,10517.287936,0,147,400,1,0.24325877747894137,on intermittent
4549091,4547291,45635,72.63541412353516,40.860416412353516,15046.908928,0,2319,319,0,0.7740253094828862,near water
4577802,4577801,45635,74.38541412353516,49.80125045776367,11120.130048,0,1236,531,0,1.182132172144407,near water
4693001,4693000,45635,80.74874877929688,49.89958190917969,10505.831424,0,1224,1302,0,1.1664631788365356,near water
4786597,4786598,45635,85.95958709716797,50.193748474121094,11625.842688,0,1188,1934,2,0.12529319040856418,on perennial
4876587,4878386,45635,91.04624938964844,51.30208206176758,13853.942784,0,1054,2551,1,0.3155386078711349,on intermittent
4813596,4811796,45635,87.4004135131836,50.35124969482422,10211.95264,0,1169,2109,0,0.37753888492294024,near water
4858548,4860348,45635,90.04374694824219,55.11541748046875,10211.427328,0,592,2429,2,0.39461604148278046,on perennial
4930506,4928706,45635,93.96458435058594,59.3004150390625,11907.82976,0,84,2904,2,0.3071037577217362,on perennial
5018801,5020601,45635,98.90458679199219,49.85625076293945,11831.409664,0,1229,3503,2,0.06584390121814368,on perennial
5009812,5011613,45635,98.39875030517578,48.72458267211914,11114.16832,0,1366,3442,1,0.24213491522771347,on intermittent
5022385,5020585,45635,98.98458099365234,51.471248626708984,13956.228096,0,1033,3513,2,0.2919985843127619,on perennial
5042170,5043969,45635,100.21041870117188,53.020416259765625,12794.228736,0,846,3661,1,0.4933380192640987,on intermittent
5040398,5040399,45635,100.04374694824219,50.10041809082031,10110.728192,0,1199,3641,0,1.3331447696998047,near water
5078222,5080022,45635,102.22374725341797,47.742916107177734,11270.66112,0,1485,3905,0,0.41125489014017247,near water
5074595,5074596,45635,101.92958068847656,50.39208221435547,13147.200512,0,1164,3870,0,0.4486646284138889,near water
5112420,5112419,45635,104.0512466430664,48.00541687011719,11123.438592,0,1453,4127,0,8.001764806314295,far from water
5112340,5114139,45635,104.12208557128906,55.96041488647461,10876.220416,0,489,4136,0,0.2946005096780374,near water
5202401,5202400,45635,109.02124786376953,49.89958190917969,12735.1296,0,1224,4729,2,0.27993775179538016,on perennial
4507728,4509528,45635,70.52124786376953,37.15458297729492,13303.397376,0,2769,63,1,0.4029807467949469,on intermittent
4550778,4550777,45635,72.85541534423828,52.1995849609375,13193.02656,0,945,346,0,0.9474059350910362,near water
4529212,4527413,45635,71.53958129882812,48.66958236694336,12804.156416,0,1373,186,0,2.4887190441592164,near water
4572518,4570718,45635,73.98041534423828,38.16875076293945,13526.614016,0,2646,482,1,0.2648082154708958,on intermittent
4552605,4550805,45635,72.85708618164062,49.44708251953125,10471.524352,0,1279,346,1,0.34716927750422283,on intermittent
4557912,4556112,45635,73.16542053222656,58.777915954589844,10693.633024,0,148,383,1,0.34967770229118966,on intermittent
4547291,4545491,45635,72.60041809082031,40.867916107177734,15366.648832,0,2319,315,1,0.46945821260572895,on intermittent
4577801,4576001,45635,74.24458312988281,49.873748779296875,11335.479296,0,1227,514,0,1.0320086352686129,near water
4599471,4597671,45635,75.50041961669922,42.838748931884766,10053.7856,0,2080,666,0,4.081977247075438,near water
4693000,4692999,45635,80.7870864868164,50.00791549682617,13360.31744,0,1211,1307,0,2.4551731903487894,near water
4786598,4788397,45635,85.99958038330078,50.18541717529297,11979.958272,0,1189,1939,1,0.1628915311714556,on intermittent
4878386,4880187,45635,91.0995864868164,51.31041717529297,15702.071296,0,1053,2557,2,0.19982253887358886,on perennial
4811796,4811795,45635,87.3004150390625,50.36375045776367,10308.947968,0,1168,2097,1,0.5144006927658621,on intermittent
4860348,4862149,45635,90.14458465576172,55.09958267211914,10294.523904,0,593,2441,1,0.47095550842404255,on intermittent
4928706,4926907,45635,93.79042053222656,59.29541778564453,12671.33952,0,85,2883,2,0.12438489848822669,on perennial
4944925,4944924,45635,94.73542022705078,57.501251220703125,10049.932288,0,302,2998,0,10.982173948991925,far from water
5020601,5020602,45635,98.92041778564453,49.8004150390625,12130.567168,0,1236,3505,2,0.1712722984366097,on perennial
5011613,5011612,45635,98.44125366210938,48.72458267211914,11337.426944,0,1366,3447,1,0.20444291038537765,on intermittent
5045817,5047617,45635,100.43291473388672,48.23458480834961,10011.810816,0,1426,3688,0,1.2909210559042956,near water
5020585,5018784,45635,98.9004135131836,51.479583740234375,14292.175872,0,1032,3503,2,0.3498154501223062,on perennial
5043969,5045769,45635,100.33875274658203,53.07374954223633,13054.268416,0,839,3677,2,0.05891500742267887,on perennial
5040399,5042199,45635,100.0995864868164,50.034584045410156,10264.009728,0,1207,3648,0,0.6770269170769599,near water
5080022,5081822,45635,102.2995834350586,47.748748779296875,11423.674368,0,1485,3915,0,0.5896671470826199,near water
5074596,5072796,45635,101.86458587646484,50.366249084472656,13191.612416,0,1167,3862,2,0.22123043915512489,on perennial
5112419,5114219,45635,104.1187515258789,48.04708480834961,11285.970944,0,1448,4135,0,5.840163768403482,far from water
5114139,5112339,45635,104.10041809082031,56.03541564941406,12465.517568,0,480,4133,2,0.0783750630592451,on perennial
5148410,5146610,45635,105.99041748046875,48.95291519165039,11428.810752,0,1339,4362,0,5.2907076685621535,far from water
5202400,5200600,45635,108.98291778564453,49.93375015258789,12851.223552,0,1220,4725,2,0.3648866905092164,on perennial
4509528,4507727,45635,70.492919921875,37.1995849609375,13431.504896,0,2763,59,1,0.24925611412760654,on intermittent
4550777,4552577,45635,72.9262466430664,52.25291442871094,13802.068992,0,939,354,1,0.4355863759588228,on intermittent
4527413,4525613,45635,71.50041961669922,48.67208480834961,13047.365632,0,1373,181,0,5.411568313638015,far from water
4570718,4568918,45635,73.87791442871094,38.12958526611328,13633.937408,0,2650,470,0,0.5789832093837083,near water
4550805,4549005,45635,72.8004150390625,49.487083435058594,10563.308544,0,1274,339,2,0.19285326234760145,on perennial
4543729,4541930,45635,72.41041564941406,37.00041580200195,10177.967104,0,2787,292,2,0.3855358921051031,on perennial
4556112,4554312,45635,73.08541870117188,58.77458190917969,10753.762304,0,148,373,1,0.23536239390498565,on intermittent
4545491,4541891,45635,72.42958068847656,40.90458297729492,15441.403904,0,2314,294,0,0.695213928129525,near water
4576001,4574200,45635,74.2004165649414,49.887916564941406,11939.255296,0,1225,509,1,0.2846190982723325,on intermittent
4597671,4595871,45635,75.4004135131836,42.841251373291016,10106.013696,0,2079,654,0,4.282311092454752,near water
4692999,4694798,45635,80.81625366210938,50.09541702270508,13779.961856,0,1200,1311,1,0.263290970023526,on intermittent
4788397,4788398,45635,86.02708435058594,50.14875030517578,12053.761024,0,1194,1942,1,0.3894566470577932,on intermittent
