catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,is_river_mouth,flow_status_row,flow_status_col,point_flow_status,nearest_water_distance_km,match_class
4784784,4782984,45635,85.81458282470703,51.59958267211914,50132.2752,0,1018,1916,2,0.3424963092822234,on perennial
5051207,5053007,45635,100.6995849609375,49.2529182434082,65924.1984,0,1302,3721,2,0.2593137702174529,on perennial
4782984,4782983,45635,85.75541687011719,51.64374923706055,52166.59456,0,1012,1909,2,0.3750387226709617,on perennial
5053007,5054807,45635,100.81625366210938,49.25958251953125,65974.636544,0,1301,3735,2,0.3581841194016972,on perennial
4941377,4939578,45635,94.49541473388672,52.19541549682617,51407.499264,0,946,2969,2,0.49251418153280774,on perennial
4782983,4784783,45635,85.76541900634766,51.6995849609375,52252.8768,0,1006,1910,2,0.44246196621056233,on perennial
4786620,4784820,45635,85.9004135131836,47.950416564941406,50195.918848,0,1460,1927,2,0.12019005584767199,on perennial
5054807,5056607,45635,100.89958190917969,49.292083740234375,66422.984704,0,1297,3745,1,0.39794877751475427,on intermittent
4939578,4937778,45635,94.4004135131836,52.14791488647461,51782.561792,0,951,2957,2,0.2557650993161287,on perennial
4784783,4782982,45635,85.72958374023438,51.7287483215332,52403.986432,0,1002,1906,2,0.09599906616350681,on perennial
4784820,4783020,45635,85.77041625976562,47.99041748046875,50860.654592,0,1455,1911,2,0.19409313748627618,on perennial
5056607,5058406,45635,100.97541809082031,49.299583435058594,66542.493696,0,1297,3754,0,0.7897749238784731,near water
4937778,4937779,45635,94.35958099365234,52.07624816894531,51899.543552,0,960,2952,2,0.10781088989332496,on perennial
4527520,4525720,45635,71.47875213623047,37.93791580200195,59443.17952,0,2674,179,1,0.33834929862858104,on intermittent
4782982,4782981,45635,85.77208709716797,51.82791519165039,52492.222464,0,990,1911,2,0.16038538204966496,on perennial
4783020,4781219,45635,85.7004165649414,47.99791717529297,52628.836352,0,1454,1903,1,0.3753776194288962,on intermittent
5058406,5060206,45635,101.11541748046875,49.3720817565918,67987.689472,0,1288,3771,1,0.24850430660919517,on intermittent
