basin_id,edge_count,good_edges,uncertain_edges,poor_edges,mean_segment_water_ratio,median_src_distance_km,median_dst_distance_km,same_component_edges,component_on_segment_edges,max_upstream_area_km2,good_edge_ratio,poor_edge_ratio,same_component_ratio,component_on_segment_ratio
45635,4026,3464,426,136,0.4344522127674147,0.30895715893741926,0.3074996531169522,3420,3918,1451150.409728,0.8604073522106309,0.03378042722305018,0.849478390461997,0.9731743666169895
53208,2834,2329,387,118,0.3520809793460915,0.3731193080863383,0.3712691353867179,2454,2766,1915572.322304,0.8218066337332393,0.04163726182074806,0.8659139026111503,0.9760056457304164
47784,2449,1939,311,199,0.39346043122055874,0.3786344426528529,0.3783065168592852,2109,2269,1575191.052288,0.791751735402205,0.08125765618619844,0.86116782360147,0.9265006124948959
53394,2410,2041,228,141,0.42729626292645767,0.3429029633785871,0.34141544307108884,2062,2295,1865084.305408,0.8468879668049792,0.05850622406639004,0.8556016597510373,0.9522821576763485
55556,1450,1418,31,1,0.31302959102470657,0.28106835589947415,0.2802708824042629,1434,1449,547723.378688,0.9779310344827586,0.000689655172413793,0.9889655172413793,0.9993103448275862
47328,966,368,213,385,0.17012174050730616,0.9717309129901758,0.9870223703035053,570,637,639435.931648,0.38095238095238093,0.39855072463768115,0.5900621118012422,0.6594202898550725
49905,702,612,90,0,0.39027349609304524,0.36855694490861285,0.36855694490861285,644,702,773729.091584,0.8717948717948718,0.0,0.9173789173789174,1.0
46924,544,454,74,16,0.3529347457911805,0.3980095977700364,0.3980095977700364,470,535,308100.988928,0.8345588235294118,0.029411764705882353,0.8639705882352942,0.9834558823529411
48358,392,339,45,8,0.42822478004880504,0.3642204884247551,0.35911118027503586,358,389,377395.740672,0.8647959183673469,0.02040816326530612,0.9132653061224489,0.9923469387755102
51254,379,339,34,6,0.32878624121118327,0.3771991968404479,0.3776868083181953,351,375,379307.360256,0.8944591029023746,0.0158311345646438,0.9261213720316622,0.9894459102902374
47073,339,269,26,44,0.5470045993467397,0.365578235322362,0.3591006389607133,296,307,402922.242048,0.7935103244837758,0.12979351032448377,0.8731563421828908,0.9056047197640118
48600,311,213,90,8,0.23219657897442975,0.375596748409516,0.376298069920686,284,306,281002.47552,0.684887459807074,0.02572347266881029,0.9131832797427653,0.9839228295819936
50090,160,127,33,0,0.31265086311239687,0.3859797790632254,0.38518740176445215,139,160,138841.94816,0.79375,0.0,0.86875,1.0
49203,156,121,27,8,0.42515869020649294,0.4241157806209229,0.41574552358727657,127,151,154538.47552,0.7756410256410257,0.05128205128205128,0.8141025641025641,0.967948717948718
47435,141,140,1,0,0.41491259158860516,0.3472770793355689,0.3443133750089452,141,141,135625.580544,0.9929078014184397,0.0,1.0,1.0
48097,122,101,21,0,0.37743242236586094,0.3001183179980941,0.29003422024637104,95,122,153076.69504,0.8278688524590164,0.0,0.7786885245901639,1.0
47744,97,24,5,68,0.17031059784521738,8.313658720723941,7.757057238981107,58,40,80090.447872,0.24742268041237114,0.7010309278350515,0.5979381443298969,0.41237113402061853
46339,94,90,4,0,0.3962565970917059,0.3864163270142854,0.38691363316912636,93,94,95526.248448,0.9574468085106383,0.0,0.9893617021276596,1.0
54326,90,86,4,0,0.4052995862351968,0.3521921330918696,0.3500020745193324,87,90,63692.36992,0.9555555555555556,0.0,0.9666666666666667,1.0
47989,85,52,30,3,0.43987931250009293,0.4412189490920382,0.4281453330584557,47,84,109056.221184,0.611764705882353,0.03529411764705882,0.5529411764705883,0.9882352941176471
46891,52,46,6,0,0.3292124672623865,0.386213613046245,0.386213613046245,44,52,78079.025152,0.8846153846153846,0.0,0.8461538461538461,1.0
46366,52,42,10,0,0.3706348598488916,0.37292450989308357,0.37292450989308357,45,52,63734.784,0.8076923076923077,0.0,0.8653846153846154,1.0
47737,47,46,1,0,0.686089669873358,0.3669758800961994,0.3714909298260995,46,47,44765.175808,0.9787234042553191,0.0,0.9787234042553191,1.0
47987,46,35,11,0,0.31857513952195676,0.39923613451442996,0.39818479522394534,29,46,69399.773184,0.7608695652173914,0.0,0.6304347826086957,1.0
56745,42,42,0,0,0.3786561102696395,0.29781515659861596,0.29781515659861596,42,42,60953.243648,1.0,0.0,1.0,1.0
52405,38,38,0,0,0.3466154401441668,0.35458754173363705,0.35458754173363705,38,38,60836.814848,1.0,0.0,1.0,1.0
48314,32,0,1,31,0.0007331258191349906,22.91381772333854,21.0073495564517,21,2,29717.303296,0.0,0.96875,0.65625,0.0625
50073,27,15,12,0,0.26095924712115137,0.4064602301856199,0.3381878487485014,19,27,29375.67232,0.5555555555555556,0.0,0.7037037037037037,1.0
48076,25,14,11,0,0.2327961748225443,0.338302285595343,0.338302285595343,19,25,21749.11488,0.56,0.0,0.76,1.0
49879,24,0,0,24,0.0,42.63544432514884,42.63544432514884,18,0,44937.25696,0.0,1.0,0.75,0.0
51649,23,3,6,14,0.11045154284143481,3.110177299613369,3.0023278285778687,8,10,25901.57824,0.13043478260869565,0.6086956521739131,0.34782608695652173,0.43478260869565216
54996,21,21,0,0,0.3737967001789748,0.3277628852971119,0.2997737817822208,21,21,34264.645632,1.0,0.0,1.0,1.0
47828,21,0,2,19,0.013042897667380215,16.843324915310085,16.843324915310085,18,5,30841.708544,0.0,0.9047619047619048,0.8571428571428571,0.23809523809523808
51810,20,19,1,0,0.30022555738041556,0.440761308006389,0.4425641312416341,20,20,29321.74848,0.95,0.0,1.0,1.0
55474,19,19,0,0,0.32158067550913644,0.4325901101326647,0.4325901101326647,19,19,23381.99552,1.0,0.0,1.0,1.0
46148,18,6,6,6,0.15832328524089048,1.1269608627647956,0.8560691773133453,6,15,17600.493568,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334
