vary_parameter,fixed_use_connectivity,fixed_min_connected_water_cells,fixed_perennial_month_threshold,fixed_perennial_ratio_threshold,base_run,other_run,base_value,other_value,base_param_water_ratio_threshold,base_param_use_connectivity,base_param_min_connected_water_cells,base_param_perennial_month_threshold,base_param_perennial_ratio_threshold,other_param_water_ratio_threshold,other_param_use_connectivity,other_param_min_connected_water_cells,other_param_perennial_month_threshold,other_param_perennial_ratio_threshold,compared_valid_cells,changed_cells,changed_ratio_valid,base_water_cells,other_water_cells,water_delta_cells,water_delta_pct_of_base,added_water_cells,lost_water_cells,common_water_cells,base_perennial_cells,other_perennial_cells,perennial_delta_cells,perennial_delta_pct_of_base,intermittent_to_perennial_cells,perennial_to_intermittent_cells,non_water_to_non_water,non_water_to_intermittent,non_water_to_perennial,intermittent_to_non_water,intermittent_to_intermittent,intermittent_to_perennial,perennial_to_non_water,perennial_to_intermittent,perennial_to_perennial,common_tile_count
water_ratio_threshold,true,20,10,0.50,water_ratio_0.30_min_conn_20_perennial_10_perennial_ratio_0.50,water_ratio_0.40_min_conn_20_perennial_10_perennial_ratio_0.50,0.30,0.40,0.30,true,20,10,0.50,0.40,true,20,10,0.50,39054132,7444,0.00019060723203373204,3718238,3710794,-7444,-0.002002023539106426,0,7444,3710794,2636491,2634652,-1839,-0.0006975180268015328,0,0,35335894,0,0,5605,1076142,0,1839,0,2634652,
water_ratio_threshold,false,na,10,0.50,water_ratio_0.30_min_conn_na_perennial_10_perennial_ratio_0.50,water_ratio_0.40_min_conn_na_perennial_10_perennial_ratio_0.50,0.30,0.40,0.30,false,na,10,0.50,0.40,false,na,10,0.50,39054132,160247,0.004103202191255972,2717810,2557563,-160247,-0.05896181116413583,0,160247,2557563,2309416,2242077,-67339,-0.029158453912157878,0,0,36336322,0,0,92908,315486,0,67339,0,2242077,
