catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,nearest_as_hyriv_id,nearest_as_distance_m,in_as_network
4498754,4500554,47784,70.05874633789062,34.50958251953125,27792.615424,40530580,369.68170090389066,True
4498778,4500578,47784,70.0120849609375,32.15791702270508,34264.246272,40607273,59.73519348526617,True
4500319,4498519,45635,70.0112533569336,57.99041748046875,607988.28544,40034664,764298.6537230455,False
4500338,4502138,45635,70.13541412353516,56.132083892822266,124293.824512,40034664,585686.9184956007,False
4500393,4498594,45635,70.01541900634766,50.60041809082031,54032.703488,40074884,157905.9021677851,False
4500395,4498595,45635,70.00208282470703,50.457916259765625,54336.974848,40074884,142441.86234079336,False
4500397,4498597,45635,70.00041961669922,50.24208450317383,14277.912576,40074884,118936.61147427993,False
4500445,4498645,45635,70.00041961669922,45.42291641235352,21519.96416,40173973,0.028264294372366362,True
4500451,4500450,45635,70.03791809082031,44.96458435058594,85931.859968,40187927,925.980007562189,True
4500497,4498698,45635,70.00041961669922,40.28208160400391,123379.171328,40343460,370.32565934967295,True
4500511,4498711,45635,70.00041961669922,38.862083435058594,28802.709504,40385262,57.18195998314134,True
4500524,4498724,45635,70.00041961669922,37.55791473388672,79298.494464,40424230,147.0011841816861,True
4500554,4502354,47784,70.16041564941406,34.50958251953125,28019.427328,40530079,92.53330221146953,True
4500578,4504179,47784,70.16374969482422,32.094581604003906,34402.025472,40608400,599.1447728204782,True
4500613,4498814,47784,70.02041625976562,28.59375,712434.581504,40754254,183.3742787597357,True
4502104,4502105,45635,70.10041809082031,59.53374862670898,31339.266048,40034664,925618.9550866227,False
4502105,4500305,45635,70.04374694824219,59.49208450317383,31367.647232,40034664,920158.5533081255,False
4502120,4500319,45635,70.10041809082031,57.991249084472656,607862.849536,40034664,766553.5291573926,False
4502138,4503938,45635,70.26958465576172,56.15625,124593.733632,40034664,592530.36666224,False
4502186,4500386,45635,70.08708190917969,51.31208419799805,13096.884224,40049936,232402.80374557798,False
4502187,4502186,45635,70.13375091552734,51.299583435058594,13052.371968,40074884,234314.1636887772,False
4502193,4500393,45635,70.05708312988281,50.62958526611328,53893.378048,40074884,160683.5407177909,False
4502197,4500397,45635,70.07624816894531,50.24791717529297,14185.611264,40074884,118517.11231549636,False
4502198,4502197,45635,70.17292022705078,50.1995849609375,14012.665856,40074884,112191.00986535828,False
4502199,4502198,45635,70.11458587646484,50.10958480834961,13790.34624,40074884,102888.37445597371,False
4502215,4500415,45635,70.10041809082031,48.446250915527344,27271.200768,40090569,185.22988158656455,True
4502245,4500445,45635,70.04541778564453,45.44791793823242,21434.892288,40172552,0.1413225757084726,True
4502251,4500451,45635,70.0737533569336,44.89291763305664,85877.653504,40190918,429.0706960052362,True
4502258,4500458,46148,70.06041717529297,44.14208221435547,17600.493568,40215144,1574.2556945429803,True
4502296,4500497,45635,70.10041809082031,40.30125045776367,123170.471936,40342556,92.48286575083007,True
4502309,4502310,45635,70.12541961669922,38.966251373291016,21948.811264,40382597,796.9131271294708,True
4502310,4500511,45635,70.0929183959961,38.90874862670898,22090.326016,40383785,57.17167665853185,True
4502320,4502321,45635,70.17874908447266,37.90041732788086,75573.886976,40413852,146.50464400781766,True
4502321,4504121,45635,70.20958709716797,37.83958435058594,75664.678912,40416614,0.11290843164292323,True
4502324,4500524,45635,70.10041809082031,37.53291702270508,78987.616256,40425090,185.01891783900427,True
4502328,4502329,45635,70.1362533569336,37.049583435058594,15402.97216,40440672,74.42681244447388,True
4502329,4502330,45635,70.10624694824219,37.00041580200195,16011.762688,40442761,115.57906663372299,True
4502330,4500530,45635,70.04042053222656,36.94041442871094,16860.239872,40444332,0.426858427176678,True
4502354,4504154,47784,70.1995849609375,34.51541519165039,28164.655104,40530454,176.84911154886728,True
4502412,4502413,47784,70.12958526611328,28.674583435058597,711872.217088,40748151,61.277470377941626,True
4502413,4500613,47784,70.10041809082031,28.647083282470703,712376.32,40749440,92.3639465569042,True
4502419,4500621,47784,70.02958679199219,27.93041610717773,162782.887936,40794754,554.1538505611693,True
4502459,4500659,47784,70.10041809082031,24.006250381469727,99790.086144,41026069,1845.931578163655,True
4503904,4502104,45635,70.15291595458984,59.5029182434082,31247.622144,40034664,923426.4665351113,False
4503920,4502120,45635,70.1995849609375,57.97041702270508,607707.922432,40034664,766907.575326683,False
4503938,4505738,45635,70.2995834350586,56.17625045776367,125002.366976,40034664,595417.731715288,False
4503987,4502187,45635,70.2004165649414,51.26541519165039,12994.282496,40074884,230243.58026471038,False
4503993,4502193,45635,70.12958526611328,50.62291717529297,53713.350656,40074884,159332.7777510108,False
4503994,4503993,45635,70.26374816894531,50.59958267211914,53648.723968,40074884,156044.7999298494,False
4504015,4502215,45635,70.14958190917969,48.45375061035156,26820.575232,40090459,304.0010086981085,True
4504043,4504044,45635,70.23291778564453,45.59375,21256.421376,40169044,845.2187323453336,True
4504044,4502245,45635,70.13458251953125,45.48458480834961,21338.701824,40170721,260.5343394240628,True
4504051,4502251,45635,70.2004165649414,44.88458251953125,85834.637312,40190919,1287.8320089388703,True
4504059,4502258,46148,70.21624755859375,44.09958267211914,17495.37792,40218028,2499.9907835296704,True
4504096,4502296,45635,70.1937484741211,40.319583892822266,121714.384896,40341880,370.0739151326534,True
4504109,4504110,45635,70.23124694824219,39.00041580200195,19644.116992,40381284,277.4426718694955,True
4504110,4502309,45635,70.16291809082031,38.9970817565918,19694.1824,40381027,92.68790371918807,True
4504120,4502320,45635,70.19791412353516,37.93624877929688,74817.552384,40412947,229.97213511095953,True
4504121,4504122,45635,70.27625274658203,37.79708480834961,76282.535936,40417586,172.7714147292876,True
4504122,4505922,45635,70.2995834350586,37.73541641235352,76498.354176,40418908,115.0276346283309,True
4504123,4504124,45635,70.22291564941406,37.58791732788086,78580.350976,40423681,277.54506192501606,True
4504124,4502324,45635,70.17874908447266,37.57041549682617,78716.010496,40423956,147.15635592116394,True
4504127,4504128,45635,70.24958038330078,37.18208312988281,14353.758208,40436467,231.31118217941795,True
4504128,4502328,45635,70.17124938964844,37.1129150390625,14857.094144,40438488,0.07248081620767746,True
4504154,4505954,47784,70.2995834350586,34.508750915527344,34480.64,40530082,184.78447816145774,True
4504179,4504180,47784,70.26958465576172,32.00041580200195,34801.680384,40612105,239.7504426180144,True
4504180,4505980,47784,70.3187484741211,31.95541763305664,34880.544768,40613119,394.05607020913976,True
4504211,4502412,47784,70.2179183959961,28.800416946411133,711719.387136,40740765,244.071326827932,True
4504218,4504219,47784,70.22624969482422,28.07041549682617,161813.331968,40785417,184.57131374464294,True
4504219,4502419,47784,70.2004165649414,28.022083282470703,162639.478784,40788157,245.18554894918455,True
4504260,4502459,47784,70.15958404541016,24.005416870117188,90451.542016,41026285,1476.7560478295688,True
4505704,4503904,45635,70.24541473388672,59.52708435058594,31029.368832,40034664,927787.2908849414,False
4505720,4503920,45635,70.29792022705078,57.93541717529297,607648.350208,40034664,765879.9706817825,False
4505721,4507520,45635,70.37041473388672,57.91291809082031,607502.66368,40034664,765500.8785612831,False
4505738,4509338,45635,70.44791412353516,56.237083435058594,125181.485056,40034664,606186.2675598704,False
4505757,4507558,45635,70.39875030517578,54.20208358764648,10069.169152,40034664,435575.15734958695,False
4505787,4503987,45635,70.3004150390625,51.2720832824707,11444.755456,40074884,230751.32281946368,False
4505793,4503994,45635,70.32875061035156,50.60041809082031,53581.389824,40074884,156008.68905028995,False
4505814,4504015,45635,70.26041412353516,48.491249084472656,26734.211072,40089458,153.79264332400837,True
4505841,4505842,45635,70.34625244140625,45.8004150390625,10758.508544,40161834,129.3791078014026,True
4505842,4504043,45635,70.29875183105469,45.758750915527344,10824.121344,40161834,106.16233567280095,True
4505843,4504043,45635,70.3004150390625,45.66791534423828,10352.960512,40165280,53.18187836932205,True
4505859,4504059,46148,70.24874877929688,44.091251373291016,15162.156032,40218161,1137.127382243261,True
4505895,4504096,45635,70.22958374023438,40.342918395996094,120628.133888,40341880,1295.6717286170344,True
4505909,4504109,45635,70.30208587646484,39.00041580200195,19538.556928,40381029,170.50389575725953,True
4505919,4504120,45635,70.31124877929688,37.9970817565918,74679.353344,40411010,172.17143150936207,True
4505922,4504123,45635,70.30458068847656,37.69541549682617,76832.768,40419772,277.60670266381453,True
4505927,4504127,45635,70.3004150390625,37.22208404541016,14249.916416,40435124,115.45352666852351,True
4505954,4505955,47784,70.35958099365234,34.49541473388672,34617.176064,40531389,353.36576119337326,True
4505955,4507755,47784,70.41374969482422,34.4495849609375,37304.172544,40532008,185.06474652110464,True
4505980,4507780,47784,70.43541717529297,31.93375015258789,34973.065216,40613949,277.2309920177134,True
4506010,4504211,47784,70.29042053222656,28.875415802001957,15447.543808,40739461,488.1546959855932,True
4506011,4504211,47784,70.27458190917969,28.818750381469727,694135.291904,40739683,0.04227939830422279,True
4506017,4507817,47784,70.41458129882812,28.25208282470703,135897.686016,40774133,0.11210125542097453,True
4506018,4504218,47784,70.29208374023438,28.112916946411133,161658.79808,40782279,612.6938407168483,True
4506059,4506060,47784,70.37041473388672,24.00958251953125,90084.384768,41028511,169.37708272470314,True
4506060,4504260,47784,70.3004150390625,23.956249237060547,90220.347392,41032131,2307.7488750331636,True
4507504,4505704,45635,70.39708709716797,59.52375030517578,30552.356864,40034664,930524.0673349089,False
4507520,4505720,45635,70.38957977294922,57.95208358764648,607574.884352,40034664,769918.093201523,False
4507521,4505721,45635,70.39458465576172,57.87874984741211,607364.120576,40034664,762720.2554028713,False
4507537,4509337,45635,70.49958038330078,56.29624938964844,126588.280832,40034664,613432.6637701881,False
4507557,4509356,45635,70.5495834350586,54.313751220703125,10731.848704,40034664,451050.3207031339,False
4507558,4509358,45635,70.49958038330078,54.18041610717773,10230.909952,40034664,439210.6195047319,False
4507586,4507587,45635,70.43624877929688,51.276248931884766,11203.2512,40074884,231250.79648406946,False
4507587,4505787,45635,70.37374877929688,51.26708221435547,11348.837376,40074884,230163.9533541744,False
4507592,4507593,45635,70.39791870117188,50.7279167175293,52819.136512,40074884,170205.61553535523,False
4507593,4505793,45635,70.39624786376953,50.64875030517578,53026.4064,40074884,161398.26111567463,False
4507614,4505814,45635,70.37875366210938,48.5504150390625,26636.341248,40087919,185.51604946100034,True
4507640,4505841,45635,70.39458465576172,45.88124847412109,10627.360768,40158412,711.7004291165392,True
4507642,4505843,45635,70.36708068847656,45.71208190917969,10271.579136,40164203,53.06812297833762,True
4507651,4504051,45635,70.32958221435547,44.89208221435547,85358.010368,40190629,0.002332798012644634,True
4507660,4505859,46148,70.3862533569336,44.01791763305664,15074.51904,40219500,1018.4255342900083,True
4507709,4505909,45635,70.39541625976562,39.03541564941406,19341.791232,40380044,144.27010722265422,True
4507718,4507719,45635,70.4245834350586,38.092918395996094,73306.611712,40408279,114.78751987509351,True
4507719,4505919,45635,70.38375091552734,38.06208419799805,74509.017088,40409080,57.37360670162384,True
4507727,4505927,45635,70.38041687011719,37.22458267211914,13559.419904,40434904,184.89635143616457,True
4507728,4509528,45635,70.52124786376953,37.15458297729492,13303.397376,40438634,148.24168740083493,True
4507755,4509555,47784,70.5062484741211,34.43208312988281,37731.753984,40532696,393.8356079902335,True
4507780,4509581,47784,70.46875,31.90041732788086,35075.497984,40615262,788.2927358952268,True
4507808,4507809,47784,70.45791625976562,29.10041618347168,14843.83232,40730113,162.2013644344046,True
4507809,4506010,47784,70.43208312988281,28.97708320617676,15320.02304,40731537,243.97051889372213,True
4507810,4507811,47784,70.45207977294922,28.88541603088379,693866.98752,40737427,305.2844029258908,True
4507811,4506011,47784,70.35208129882812,28.825416564941406,694016.4096,40739463,1098.6024075366824,True
4507815,4507816,47784,70.45625305175781,28.40041732788086,134615.056384,40763387,1208.4761387518392,True
4507816,4506017,47784,70.39624786376953,28.285415649414062,134720.741376,40774133,1385.7837285098622,True
4507817,4506018,47784,70.4004135131836,28.21041679382324,136153.628672,40776325,0.014091906453831706,True
4507818,4506018,47784,70.367919921875,28.17291641235352,25355.866112,40782034,60.9861774707544,True
4507860,4506059,47784,70.39208221435547,23.98624992370605,89920.954368,41029177,1945.6719743969695,True
4509304,4507504,45635,70.50041961669922,59.54458236694336,30498.940928,40034664,934830.2198791173,False
4509321,4507521,45635,70.50041961669922,57.87541580200195,607318.17984,40034664,765200.2751101946,False
4509331,4511130,45635,70.61958312988281,56.946250915527344,134883.237888,40034664,678252.2281984555,False
4509332,4511131,45635,70.60541534423828,56.80291748046875,130733.481984,40034664,664226.523675349,False
4509337,4512936,45635,70.5995864868164,56.31458282470703,126638.792704,40034664,618620.8095882124,False
4509338,4507537,45635,70.47291564941406,56.25958251953125,125247.504384,40034664,609129.1406877564,False
4509356,4511157,45635,70.65875244140625,54.26041793823242,10780.613632,40034664,452876.4980826352,False
4509357,4507557,45635,70.50041961669922,54.251251220703125,10353.599488,40034664,444172.4286700275,False
4509358,4509357,45635,70.54458618164062,54.22458267211914,10294.77888,40034664,444562.9566326285,False
4509386,4507586,45635,70.49708557128906,51.30291748046875,10920.972288,40074884,234362.60432318982,False
4509391,4507592,45635,70.50291442871094,50.79708480834961,52661.395456,40074885,178167.2998694785,False
4509414,4507614,45635,70.49124908447266,48.5745849609375,26544.754688,40087657,261.6796855662373,True
4509439,4507640,45635,70.5120849609375,45.99874877929688,10541.687808,40154621,193.5365304232867,True
4509442,4507642,45635,70.49874877929688,45.757083892822266,10202.508288,40161740,64.73968022904766,True
4509451,4507651,45635,70.50041961669922,44.87291717529297,85259.362304,40191385,107.11146297731715,True
4509460,4507660,46148,70.43624877929688,43.99625015258789,14706.735104,40221362,648.1376959271992,True
4509461,4509460,46148,70.53291320800781,43.917083740234375,14661.439488,40223497,277.82170820144404,True
4509494,4505895,45635,70.50041961669922,40.526248931884766,117323.317248,40335805,55.86380035614768,True
4509509,4507709,45635,70.50041961669922,39.05708312988281,19105.892352,40379301,92.49121588191113,True
4509517,4509518,45635,70.52874755859375,38.200416564941406,72827.977728,40405209,185.01177205286834,True
4509518,4507718,45635,70.50041961669922,38.11958312988281,73155.805184,40407544,114.90285524896386,True
4509528,4507727,45635,70.492919921875,37.1995849609375,13431.504896,40435632,296.21725973799454,True
4509529,4507728,45635,70.52958679199219,37.09624862670898,13188.996096,40439088,57.954498871677984,True
4509554,4509555,47784,70.57125091552734,34.48541641235352,25808.244736,40530710,462.2416354139013,True
4509555,4509556,47784,70.5512466430664,34.39374923706055,63732.69504,40533872,354.28318446806367,True
4509556,4511356,47784,70.66958618164062,34.40041732788086,64454.791168,40533875,531.180043278383,True
4509568,4509569,47784,70.56041717529297,33.10041809082031,12095.276032,40579641,0.0474788659508957,True
4509569,4511370,47784,70.66958618164062,32.9779167175293,12169.69728,40579641,121.04573684787637,True
4509581,4511382,47784,70.60958099365234,31.75791549682617,35459.403776,40620215,540.4945752176835,True
4509584,4511384,47784,70.5995864868164,31.59375,40379.953152,40625087,2332.4989849159956,True
4509605,4509606,47784,70.54624938964844,29.40041732788086,12798.294016,40712146,973.6519456492741,True
4509606,4507808,47784,70.4887466430664,29.230417251586918,12860.346368,40719911,1944.1141654414691,True
4509609,4509610,47784,70.58708190917969,28.99458312988281,693684.011008,40730311,60.89802486885056,True
4509610,4507810,47784,70.50041961669922,28.949583053588867,693801.320448,40734345,162.18933516238897,True
4509615,4509616,47784,70.53375244140625,28.39791679382324,97538.121728,40766365,3793.0997391455485,True
4509616,4507815,47784,70.49708557128906,28.39291763305664,126922.866688,40762856,2234.2561745709395,True
4509617,4507818,47784,70.47291564941406,28.196250915527344,25269.753856,40777455,428.55458585425686,True
4509660,4507860,47784,70.48958587646484,23.956249237060547,87910.834176,41030268,312.14900305713024,True
4511104,4509304,45635,70.60041809082031,59.549583435058594,30442.190848,40034664,937459.4470559593,False
4511121,4509321,45635,70.5929183959961,57.80208206176758,604627.337216,40034664,760450.915956782,False
4511127,4512927,45635,70.6995849609375,57.23541641235352,136309.489664,40034664,708361.1048794126,False
4511129,4512929,45635,70.70458221435547,57.0504150390625,135348.707328,40034664,690844.2941652533,False
4511130,4511129,45635,70.694580078125,56.99958419799805,135032.766464,40034664,685699.4392589917,False
4511131,4509331,45635,70.66791534423828,56.89958190917969,132268.376064,40034664,675375.7665132461,False
4511132,4509332,45635,70.5687484741211,56.78708267211914,130436.677632,40034664,661543.3857578709,False
4511133,4511132,45635,70.63041687011719,56.6995849609375,129893.752832,40034664,655332.7725905724,False
4511135,4512935,45635,70.6995849609375,56.450416564941406,128808.50944,40034664,634578.5883889928,False
4511136,4511135,45635,70.63291931152344,56.4162483215332,128442.343424,40034664,629115.8060693569,False
4511157,4512957,45635,70.74541473388672,54.28291702270508,10854.890496,40034664,458866.8843550912,False
4511186,4509386,45635,70.60041809082031,51.321250915527344,10858.432512,40074885,236703.84885465613,False
4511191,4509391,45635,70.60041809082031,50.82958221435547,52513.923072,40074885,182095.4171579487,False
4511214,4509414,45635,70.60041809082031,48.56291580200195,26377.955328,40087833,185.43161443825628,True
4511237,4511238,45635,70.6129150390625,46.200416564941406,10045.627392,40148624,1093.5534880873436,True
4511238,4509439,45635,70.6129150390625,46.10041809082031,10450.476032,40153340,0.19131351416615483,True
4511242,4509442,45635,70.60041809082031,45.770416259765625,10118.107136,40161215,675.4776281583881,True
4511251,4509451,45635,70.59708404541016,44.882083892822266,85023.760384,40191218,555.7092970698712,True
4511261,4509461,46148,70.58291625976562,43.87958526611328,14593.335296,40225127,597.0858601731929,True
4511293,4509494,45635,70.617919921875,40.598751068115234,115008.364544,40333294,112.04058678935445,True
4511309,4509509,45635,70.59791564941406,39.08208465576172,18884.405248,40378732,341.2552476332931,True
4511315,4511316,45635,70.68624877929688,38.36541748046875,71948.935168,40400477,0.13838611622472752,True
4511316,4511317,45635,70.60624694824219,38.28874969482422,72144.470016,40402736,0.26698898073373195,True
4511317,4509517,45635,70.5512466430664,38.24791717529297,72236.843008,40403580,57.53685286382441,True
4511329,4509529,45635,70.60208129882812,37.088748931884766,12980.7104,40440527,0.18088400491395681,True
4511353,4511354,47784,70.6812515258789,34.591251373291016,25096.214528,40527984,185.04083484260823,True
4511354,4509554,47784,70.58208465576172,34.54875183105469,25338.904576,40529015,459.05380795349504,True
4511356,4513156,47784,70.72875213623047,34.367916107177734,64771.055616,40535369,59.115049842127846,True
4511370,4513169,47784,70.73041534423828,32.931251525878906,12411.743232,40581151,59.57333478751008,True
4511382,4511383,47784,70.67208099365234,31.700416564941406,36365.979648,40621883,184.81393758034858,True
4511383,4509584,47784,70.60041809082031,31.630416870117188,37226.160128,40624248,720.9829365990515,True
4511384,4511385,47784,70.60624694824219,31.50124931335449,40466.2272,40629368,369.51750102592615,True
4511385,4511386,47784,70.63874816894531,31.39791679382324,41114.779648,40633485,461.9986509273123,True
4511386,4513188,47784,70.7379150390625,31.270416259765625,45053.468672,40638664,243.6664708979353,True
4511404,4511405,47784,70.69041442871094,29.48958396911621,412115.402752,40707901,80.59647714637165,True
4511405,4511406,47784,70.70207977294922,29.456249237060547,412258.14016,40709869,303.8495903688888,True
4511406,4511407,47784,70.6995849609375,29.32958221435547,412744.220672,40714708,304.4135181895017,True
4511407,4511408,47784,70.70958709716797,29.23374938964844,412835.545088,40719138,324.42884530195397,True
4511408,4511409,47784,70.63874816894531,29.10041618347168,412928.442368,40725554,60.85838269429251,True
4511409,4509609,47784,70.57624816894531,29.028749465942383,693524.824064,40730310,81.35497786968574,True
4511417,4509617,47784,70.57624816894531,28.272083282470703,25190.436864,40776591,183.5140036191884,True
