catchment_id,downstream_id,basin_id,longitude,latitude,upstream_area_km2,hyriv_id,distance_m,nearest_distance_m,second_distance_m,downstream_support,upstream_support,match_status
4498754,4500554,47784,70.05874633789062,34.50958251953125,27792.615424,40530580.0,369.68170090389066,369.68170090389066,412.32438629060005,1,0,ambiguous
4498778,4500578,47784,70.0120849609375,32.15791702270508,34264.246272,,,,,0,0,no_candidate
4500393,4498594,45635,70.01541900634766,50.60041809082031,54032.703488,,,,,0,0,no_candidate
4500395,4498595,45635,70.00208282470703,50.457916259765625,54336.974848,,,,,0,0,no_candidate
4500397,4498597,45635,70.00041961669922,50.24208450317383,14277.912576,,,,,0,0,no_candidate
4500445,4498645,45635,70.00041961669922,45.42291641235352,21519.96416,,,,,0,0,no_candidate
4500451,4500450,45635,70.03791809082031,44.96458435058594,85931.859968,40190627.0,8337.228604285832,8337.228604285832,8337.228604285832,0,1,ambiguous
4500497,4498698,45635,70.00041961669922,40.28208160400391,123379.171328,40343460.0,370.32565934967295,370.32565934967295,2086.5608322746302,0,1,candidate
4500511,4498711,45635,70.00041961669922,38.862083435058594,28802.709504,40385262.0,57.18195998314134,57.18195998314134,1972.205452405899,0,1,candidate
4500524,4498724,45635,70.00041961669922,37.55791473388672,79298.494464,40424230.0,147.0011841816861,147.0011841816861,1744.2076868510721,0,1,candidate
4500554,4502354,47784,70.16041564941406,34.50958251953125,28019.427328,40530079.0,92.53330221146953,92.53330221146953,1274.944557249022,1,1,candidate
4500578,4504179,47784,70.16374969482422,32.094581604003906,34402.025472,,,,,0,0,no_candidate
4500613,4498814,47784,70.02041625976562,28.59375,712434.581504,40754254.0,183.3742787597357,183.3742787597357,3401.751697917795,0,1,candidate
4502186,4500386,45635,70.08708190917969,51.31208419799805,13096.884224,,,,,0,0,no_candidate
4502187,4502186,45635,70.13375091552734,51.299583435058594,13052.371968,,,,,0,0,no_candidate
4502193,4500393,45635,70.05708312988281,50.62958526611328,53893.378048,,,,,0,0,no_candidate
4502197,4500397,45635,70.07624816894531,50.24791717529297,14185.611264,,,,,0,0,no_candidate
4502198,4502197,45635,70.17292022705078,50.1995849609375,14012.665856,,,,,0,0,no_candidate
4502199,4502198,45635,70.11458587646484,50.10958480834961,13790.34624,,,,,0,0,no_candidate
4502215,4500415,45635,70.10041809082031,48.446250915527344,27271.200768,,,,,0,0,no_candidate
4502245,4500445,45635,70.04541778564453,45.44791793823242,21434.892288,,,,,0,0,no_candidate
4502251,4500451,45635,70.0737533569336,44.89291763305664,85877.653504,40190917.0,1485.2754106938246,1485.2754106938246,1485.2754106938246,1,1,ambiguous
4502258,4500458,46148,70.06041717529297,44.14208221435547,17600.493568,40221774.0,18208.67889547456,18208.67889547456,18212.547014932235,0,1,ambiguous
4502296,4500497,45635,70.10041809082031,40.30125045776367,123170.471936,40342556.0,92.48286575083007,92.48286575083007,231.90248572209282,1,1,candidate
4502309,4502310,45635,70.12541961669922,38.966251373291016,21948.811264,40382597.0,796.9131271294708,796.9131271294708,909.7247133916676,1,1,ambiguous
4502310,4500511,45635,70.0929183959961,38.90874862670898,22090.326016,40383785.0,57.17167665853185,57.17167665853185,1253.7653966007563,1,1,candidate
4502320,4502321,45635,70.17874908447266,37.90041732788086,75573.886976,40413852.0,146.50464400781766,146.50464400781766,663.7640450785697,1,1,candidate
4502321,4504121,45635,70.20958709716797,37.83958435058594,75664.678912,40415375.0,57.14451088306139,57.14451088306139,73.02165037279651,1,1,ambiguous
4502324,4500524,45635,70.10041809082031,37.53291702270508,78987.616256,40425090.0,185.01891783900427,185.01891783900427,1848.6447453309909,1,1,candidate
4502328,4502329,45635,70.1362533569336,37.049583435058594,15402.97216,40440673.0,184.97554958983096,184.97554958983096,199.38762620437765,1,1,ambiguous
4502329,4502330,45635,70.10624694824219,37.00041580200195,16011.762688,40442761.0,115.57906663372299,115.57906663372299,647.4659594953845,1,1,candidate
4502330,4500530,45635,70.04042053222656,36.94041442871094,16860.239872,40444332.0,0.426858427176678,0.426858427176678,118.61188927155663,0,1,ambiguous
4502354,4504154,47784,70.1995849609375,34.51541519165039,28164.655104,40530454.0,176.84911154886728,176.84911154886728,543.6753612891849,1,1,candidate
4502412,4502413,47784,70.12958526611328,28.674583435058597,711872.217088,40748151.0,61.277470377941626,61.277470377941626,1928.3630686258648,1,1,candidate
4502413,4500613,47784,70.10041809082031,28.647083282470703,712376.32,40749440.0,92.3639465569042,92.3639465569042,795.0923426641658,1,1,candidate
4502419,4500621,47784,70.02958679199219,27.93041610717773,162782.887936,,,,,0,0,no_candidate
4502459,4500659,47784,70.10041809082031,24.006250381469727,99790.086144,41026069.0,1845.931578163655,1845.931578163655,2622.3521138939377,0,1,candidate
4503987,4502187,45635,70.2004165649414,51.26541519165039,12994.282496,,,,,0,0,no_candidate
4503993,4502193,45635,70.12958526611328,50.62291717529297,53713.350656,,,,,0,0,no_candidate
4503994,4503993,45635,70.26374816894531,50.59958267211914,53648.723968,,,,,0,0,no_candidate
4504015,4502215,45635,70.14958190917969,48.45375061035156,26820.575232,,,,,0,0,no_candidate
4504043,4504044,45635,70.23291778564453,45.59375,21256.421376,,,,,0,0,no_candidate
4504044,4502245,45635,70.13458251953125,45.48458480834961,21338.701824,,,,,0,0,no_candidate
4504051,4502251,45635,70.2004165649414,44.88458251953125,85834.637312,40190919.0,1287.8320089388703,1287.8320089388703,1487.657335818333,1,1,ambiguous
4504059,4502258,46148,70.21624755859375,44.09958267211914,17495.37792,40221361.0,12864.09603451983,12864.09603451983,13983.828232448113,1,1,ambiguous
4504096,4502296,45635,70.1937484741211,40.319583892822266,121714.384896,40341880.0,370.0739151326534,370.0739151326534,799.0098126153833,1,1,candidate
