vary_parameter,fixed_use_connectivity,fixed_min_connected_water_cells,fixed_perennial_month_threshold,fixed_perennial_ratio_threshold,base_run,other_run,base_value,other_value,base_param_water_ratio_threshold,base_param_use_connectivity,base_param_min_connected_water_cells,base_param_perennial_month_threshold,base_param_perennial_ratio_threshold,other_param_water_ratio_threshold,other_param_use_connectivity,other_param_min_connected_water_cells,other_param_perennial_month_threshold,other_param_perennial_ratio_threshold,compared_valid_cells,changed_cells,changed_ratio_valid,base_water_cells,other_water_cells,water_delta_cells,water_delta_pct_of_base,added_water_cells,lost_water_cells,common_water_cells,base_perennial_cells,other_perennial_cells,perennial_delta_cells,perennial_delta_pct_of_base,intermittent_to_perennial_cells,perennial_to_intermittent_cells,non_water_to_non_water,non_water_to_intermittent,non_water_to_perennial,intermittent_to_non_water,intermittent_to_intermittent,intermittent_to_perennial,perennial_to_non_water,perennial_to_intermittent,perennial_to_perennial,common_tile_count
water_ratio_threshold,true,50,10,0.50,water_ratio_0.05_min_conn_50_perennial_10_perennial_ratio_0.50,water_ratio_0.10_min_conn_50_perennial_10_perennial_ratio_0.50,0.05,0.10,0.05,true,50,10,0.50,0.10,true,50,10,0.50,39054132,330907,0.008473034300186214,4007728,3676821,-330907,-0.08256723011142472,0,330907,3676821,2657882,2620689,-37193,-0.013993472998425061,0,0,35046404,0,0,293714,1056132,0,37193,0,2620689,
water_ratio_threshold,true,50,10,0.50,water_ratio_0.10_min_conn_50_perennial_10_perennial_ratio_0.50,water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50,0.10,0.40,0.10,true,50,10,0.50,0.40,true,50,10,0.50,39054132,198087,0.005072113752265702,3676821,3478734,-198087,-0.053874529110881385,0,198087,3478734,2620689,2589238,-31451,-0.01200104247394483,0,0,35377311,0,0,166636,889496,0,31451,0,2589238,
