run,source_kind,source_path,param_water_ratio_threshold,param_use_connectivity,param_min_connected_water_cells,param_perennial_month_threshold,param_perennial_ratio_threshold,total_cells,valid_cells,nodata_cells,non_water_cells,water_cells,intermittent_cells,perennial_cells,water_ratio_valid,intermittent_ratio_water,perennial_ratio_water,perennial_ratio_valid
water_ratio_0.05_min_conn_50_perennial_10_perennial_ratio_0.50,mosaic,Output\SelectedWaterRatioMosaic\water_ratio_0.05_min_conn_50_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.05_min_conn_50_perennial_10_perennial_ratio_0.50.tif,0.05,true,50,10,0.50,51433646,39054132,12379514,35046404,4007728,1349846,2657882,0.10261982009995767,0.33681078157000677,0.6631892184299932,0.06805635828751744
water_ratio_0.10_min_conn_50_perennial_10_perennial_ratio_0.50,mosaic,Output\SelectedWaterRatioMosaic\water_ratio_0.10_min_conn_50_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.10_min_conn_50_perennial_10_perennial_ratio_0.50.tif,0.10,true,50,10,0.50,51433646,39054132,12379514,35377311,3676821,1056132,2620689,0.09414678579977145,0.2872405265309353,0.7127594734690648,0.06710401347544992
water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50,mosaic,Output\SelectedWaterRatioMosaic\water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50\china_flow_status_factor33_water_ratio_0.40_min_conn_50_perennial_10_perennial_ratio_0.50.tif,0.40,true,50,10,0.50,51433646,39054132,12379514,35575398,3478734,889496,2589238,0.08907467204750576,0.255695319044227,0.744304680955773,0.06629869535955889
